ENSG00000126903	ENSG00000160219	ENSG00000071889	ENSG00000185973	ENSG00000130830	ENSG00000102178	ENSG00000102125	ENSG00000269335	ENSG00000160211	ENSG00000165775	ENSG00000177854	ENSG00000203879	ENSG00000102119	ENSG00000102032	ENSG00000172534	ENSG00000184216	ENSG00000169057	ENSG00000182484	ENSG00000071859	ENSG00000196976	ENSG00000185010	ENSG00000131002	ENSG00000197180	ENSG00000277203	ENSG00000155962	ENSG00000278212	ENSG00000071553	ENSG00000013563	ENSG00000260197	ENSG00000168939	ENSG00000130827	ENSG00000012817	ENSG00000210144	ENSG00000130826	ENSG00000210140	ENSG00000165246	ENSG00000114374	ENSG00000092377	ENSG00000099725	ENSG00000155959	ENSG00000176728	ENSG00000198692	ENSG00000273906	ENSG00000183878	ENSG00000067048	ENSG00000124333	ENSG00000067646	ENSG00000185515	ENSG00000155961	ENSG00000210196	ENSG00000280195	condition
745	168	587	125	656	351	610	9	347	1068	258	2352	1531	49	933	317	907	77	361	314	298	931	98	78	74	169	3797	132	33	64	496	509	1451	281	769	261	1016	30	525	343	227	343	111	474	788	343	115	221	63	554	25	1
1765	894	1458	702	3048	810	1544	16	1443	5635	381	11809	6625	141	2727	616	5668	173	726	624	1270	2120	140	235	749	453	5182	365	171	314	1104	3672	2876	1207	2273	977	3794	16	1551	1043	576	2114	7	1775	7454	1150	718	868	165	5354	141	1
174	96	396	34	274	267	309	15	191	519	84	1175	408	26	555	361	755	56	365	88	182	1615	51	42	108	109	1722	99	83	54	642	752	109	407	219	146	1284	31	546	421	274	346	150	338	1094	416	183	321	59	185	36	1
220	100	401	31	411	288	356	31	288	536	87	1627	477	47	1014	870	921	60	506	101	175	2623	31	51	69	53	2240	143	65	40	1013	1118	153	637	566	177	1045	47	524	414	275	292	161	349	1106	429	228	377	91	109	14	1
104	29	449	0	89	117	488	0	63	159	25	1136	357	70	142	223	157	228	1296	113	0	167	72	26	0	6	1074	1	0	0	266	98	837	98	254	0	8	11	44	56	36	36	1	14	31	0	1	22	0	207	0	1
678	312	1021	86	747	562	1035	28	626	1091	183	4165	1649	79	1753	847	2230	144	522	286	325	1080	102	182	134	155	4059	232	27	57	1594	1875	157	646	915	224	968	58	1380	259	307	291	93	285	1023	326	117	297	114	284	43	1
654	125	1268	82	893	673	1046	48	747	1275	251	4658	1989	80	1870	1462	2232	114	1084	287	349	2559	125	169	130	263	4934	280	88	73	1838	2435	307	982	395	355	1420	54	689	635	546	670	221	614	1830	646	190	469	140	390	50	1
181	65	334	40	349	248	224	25	184	416	59	1223	434	21	625	563	593	54	464	100	165	1302	36	27	46	48	1737	79	47	38	715	762	157	473	209	123	831	42	182	392	157	280	151	232	868	359	146	243	37	121	15	1
470	129	1040	28	596	675	650	72	512	969	219	2814	1120	84	1725	2001	1362	94	965	207	278	1342	84	103	96	175	5040	308	46	42	2050	1530	325	933	125	171	1377	105	241	493	260	174	279	378	1158	503	161	439	84	103	41	1
959	471	1518	191	1173	1087	1344	108	860	1589	297	5373	1934	136	3164	2443	4017	122	1464	267	788	3657	89	100	205	205	5140	347	230	226	3632	4734	143	1596	157	695	2896	128	1606	828	614	813	308	1305	3835	1175	523	652	103	233	58	1
715	278	1172	135	926	734	740	35	619	1209	315	3749	1488	77	1554	931	2067	113	357	205	942	2536	117	81	136	201	5373	268	128	129	1618	2425	78	769	219	477	1933	81	792	875	443	592	399	836	2232	997	319	551	116	79	32	1
